LON,LAT,,,,,,,,
-120.6198570000,34.6475965700,,,,,,,,
-120.6183360000,34.6513822200,,,,,,,,
-120.6181940000,34.6517335900,,,,,,,,
-120.6170390000,34.6546073000,,,,,,,,
-120.6169500000,34.6548301900,,,,,,,,
-120.6165520000,34.6558195600,,,,,,,,
-120.6164600000,34.6560473100,,,,,,,,
-120.6145040000,34.6609128300,,,,,,,,
-120.6140750000,34.6619818200,,,,,,,,
-120.6135730000,34.6632305900,,,,,,,,
-120.6135700000,34.6632375600,,,,,,,,
-120.6131700000,34.6642335000,,,,,,,,
-120.6019700000,34.6920950000,,,,,,,,
-120.6004500000,34.7046400000,,,,,,,,
-120.6016720000,34.7097210000,,,,,,,,
-120.6148520000,34.7307090000,,,,,,,,
-120.6149890000,34.7307970700,,,,,,,,
-120.6160200000,34.7314592200,,,,,,,,
-120.6191390000,34.7334616900,,,,,,,,
-120.6209030000,34.7345946100,,,,,,,,
-120.6210730000,34.7347037400,,,,,,,,
-120.6212370000,34.7348090000,,,,,,,,
-120.6238800000,34.7365060200,,,,,,,,
-120.6263200000,34.7380720000,,,,,,,,
-120.6276640000,34.7402313900,,,,,,,,
-120.6283360000,34.7413119400,,,,,,,,
-120.6293140000,34.7428822600,,,,,,,,
-120.6293650000,34.7429649300,,,,,,,,
-120.6302000000,34.7443060800,,,,,,,,
-120.6303010000,34.7444681300,,,,,,,,
-120.6306410000,34.7450148200,,,,,,,,
-120.6356510000,34.7530627000,,,,,,,,
-120.6373950000,34.7558644500,,,,,,,,
-120.6374150000,34.7558950000,,,,,,,,
-120.6370480000,34.7568438500,,,,,,,,
-120.6365930000,34.7580225900,,,,,,,,
-120.6290980000,34.7774296000,,,,,,,,
-120.6270880000,34.7826359200,,,,,,,,
-120.6262670000,34.7847621900,,,,,,,,
-120.6261450000,34.7850779300,,,,,,,,
-120.6256190000,34.7864384800,,,,,,,,
-120.6245430000,34.7892246200,,,,,,,,
-120.6232650000,34.7925356400,,,,,,,,
-120.6229700000,34.7933000000,,,,,,,,
-120.6201250000,34.8031051900,,,,,,,,
-120.6200420000,34.8033926900,,,,,,,,
-120.6195750000,34.8050030700,,,,,,,,
-120.6193980000,34.8056132400,,,,,,,,
-120.6162960000,34.8163080000,,,,,,,,
-120.6150960000,34.8212674100,,,,,,,,
-120.6148870000,34.8221314100,,,,,,,,
-120.6147460000,34.8227117900,,,,,,,,
-120.6144250000,34.8240406500,,,,,,,,
-120.6132160000,34.8290360000,,,,,,,,
-120.6129780000,34.8300199000,,,,,,,,
-120.6121370000,34.8334936700,,,,,,,,
-120.6112890000,34.8369981100,,,,,,,,
-120.6107490000,34.8392312600,,,,,,,,
-120.6105630000,34.8399990500,,,,,,,,
-120.6098980000,34.8427510000,,,,,,,,
-120.6099280000,34.8440253800,,,,,,,,
-120.6099400000,34.8445532300,,,,,,,,
-120.6099530000,34.8450595100,,,,,,,,
-120.6102300000,34.8567053800,,,,,,,,
-120.6102660000,34.8581800000,,,,,,,,
-120.6114310000,34.8598261300,,,,,,,,
-120.6131360000,34.8622350400,,,,,,,,
-120.6134060000,34.8626158000,,,,,,,,
-120.6144150000,34.8640416600,,,,,,,,
-120.6163250000,34.8667390000,,,,,,,,
-120.6164370000,34.8668059000,,,,,,,,
-120.6182820000,34.8679049200,,,,,,,,
-120.6190390000,34.8683559300,,,,,,,,
-120.6202490000,34.8690765200,,,,,,,,
-120.6218200000,34.8700122400,,,,,,,,
-120.6258730000,34.8724259000,,,,,,,,
-120.6277430000,34.8735397100,,,,,,,,
-120.6281020000,34.8737539100,,,,,,,,
-120.6309900000,34.8754737400,,,,,,,,
-120.6316060000,34.8758405200,,,,,,,,
-120.6318990000,34.8760153200,,,,,,,,
-120.6324620000,34.8763505400,,,,,,,,
-120.6361010000,34.8785181900,,,,,,,,
-120.6361490000,34.8785463900,,,,,,,,
-120.6362530000,34.8786083900,,,,,,,,
-120.6364380000,34.8787189300,,,,,,,,
-120.6366260000,34.8788305600,,,,,,,,
-120.6370750000,34.8790979000,,,,,,,,
-120.6372100000,34.8791783600,,,,,,,,
-120.6382670000,34.8798083100,,,,,,,,
-120.6385000000,34.8799467500,,,,,,,,
-120.6385950000,34.8800037800,,,,,,,,
-120.6392830000,34.8804130000,,,,,,,,
-120.6392850000,34.8804239000,,,,,,,,
-120.6394300000,34.8811041300,,,,,,,,
-120.6395370000,34.8816069300,,,,,,,,
-120.6397220000,34.8824725700,,,,,,,,
-120.6413860000,34.8902737000,,,,,,,,
-120.6414890000,34.8907576600,,,,,,,,
-120.6420700000,34.8934802300,,,,,,,,
-120.6421830000,34.8940094900,,,,,,,,
-120.6422120000,34.8941450000,,,,,,,,
-120.6423060000,34.8942742600,,,,,,,,
-120.6438040000,34.8963207300,,,,,,,,
-120.6460200000,34.8993470800,,,,,,,,
-120.6471950000,34.9009526400,,,,,,,,
-120.6473280000,34.9011330000,,,,,,,,
-120.6476700000,34.9011341000,,,,,,,,
-120.6477980000,34.9011345100,,,,,,,,
-120.6484350000,34.9011365500,,,,,,,,
-120.6493410000,34.9011394600,,,,,,,,
-120.6501720000,34.9011421300,,,,,,,,
-120.6518540000,34.9011475400,,,,,,,,
-120.6527430000,34.9011504000,,,,,,,,
-120.6556720000,34.9011598100,,,,,,,,
-120.6619290000,34.9011799100,,,,,,,,
-120.6621400000,34.9011805900,,,,,,,,
-120.6624330000,34.9011815300,,,,,,,,
-120.6625170000,34.9011818000,,,,,,,,
-120.6628890000,34.9011830000,,,,,,,,
-120.6629500000,34.9012055600,,,,,,,,
-120.6708350000,34.9041150000,,,,,,,,
-120.6707580000,34.9043617000,,,,,,,,
-120.6706570000,34.9046826500,,,,,,,,
-120.6706350000,34.9047534100,,,,,,,,
-120.6704550000,34.9053300000,,,,,,,,
-120.6704040000,34.9054959500,,,,,,,,
-120.6698670000,34.9072151000,,,,,,,,
-120.6641430000,34.9255577200,,,,,,,,
-120.6637580000,34.9267936400,,,,,,,,
-120.6634050000,34.9279247200,,,,,,,,
-120.6489050000,34.9743932100,,,,,,,,
-120.6460080000,34.9836741100,,,,,,,,
-120.6457810000,34.9844047300,,,,,,,,
-120.6405530000,35.0011566400,,,,,,,,
-120.6400880000,35.0026481800,,,,,,,,
-120.6399900000,35.0029630000,,,,,,,,
-120.6396860000,35.0043849700,,,,,,,,
-120.6393150000,35.0061294600,,,,,,,,
-120.6391730000,35.0067949700,,,,,,,,
-120.6346050000,35.0282282300,,,,,,,,
-120.6337170000,35.0323930600,,,,,,,,
-120.6335810000,35.0330320400,,,,,,,,
-120.6335700000,35.0330850000,,,,,,,,
-120.6327070000,35.0398196000,,,,,,,,
-120.6325390000,35.0411387800,,,,,,,,
-120.6321670000,35.0440407000,,,,,,,,
-120.6319470000,35.0457628600,,,,,,,,
-120.6318300000,35.0466731800,,,,,,,,
-120.6317020000,35.0476752300,,,,,,,,
-120.6316310000,35.0482306100,,,,,,,,
-120.6313200000,35.0506579100,,,,,,,,
-120.6311640000,35.0518792000,,,,,,,,
-120.6311430000,35.0520385600,,,,,,,,
-120.6305090000,35.0569934600,,,,,,,,
-120.6299310000,35.0615150000,,,,,,,,
-120.6298000000,35.0678112800,,,,,,,,
-120.6297690000,35.0693363400,,,,,,,,
-120.6297290000,35.0712637600,,,,,,,,
-120.6297090000,35.0722142900,,,,,,,,
-120.6295830000,35.0783620000,,,,,,,,
-120.6299760000,35.0851165000,,,,,,,,
-120.6299940000,35.0854318600,,,,,,,,
-120.6300230000,35.0859239900,,,,,,,,
-120.6301340000,35.0878190100,,,,,,,,
-120.6302440000,35.0897119900,,,,,,,,
-120.6303000000,35.0906756400,,,,,,,,
-120.6303510000,35.0915554300,,,,,,,,
-120.6303630000,35.0917559600,,,,,,,,
-120.6305810000,35.0954953600,,,,,,,,
-120.6309100000,35.1011350900,,,,,,,,
-120.6309110000,35.1011601200,,,,,,,,
-120.6309570000,35.1019410000,,,,,,,,
-120.6316960000,35.1052906500,,,,,,,,
-120.6317000000,35.1053077200,,,,,,,,
-120.6352980000,35.1215930200,,,,,,,,
-120.6354610000,35.1223308500,,,,,,,,
-120.6357870000,35.1238050000,,,,,,,,
-120.6361540000,35.1244860100,,,,,,,,
-120.6369100000,35.1258892600,,,,,,,,
-120.6369890000,35.1260359800,,,,,,,,
-120.6376920000,35.1273392900,,,,,,,,
-120.6380570000,35.1280168800,,,,,,,,
-120.6385760000,35.1289796600,,,,,,,,
-120.6415770000,35.1345454900,,,,,,,,
-120.6419390000,35.1352169900,,,,,,,,
-120.6422820000,35.1358526600,,,,,,,,
-120.6443110000,35.1396160000,,,,,,,,
-120.6448330000,35.1402405700,,,,,,,,
-120.6501250000,35.1465634000,,,,,,,,
-120.6511340000,35.1477680000,,,,,,,,
-120.6541280000,35.1492439600,,,,,,,,
-120.6542110000,35.1492847000,,,,,,,,
-120.6548650000,35.1496068100,,,,,,,,
-120.6549040000,35.1496259700,,,,,,,,
-120.6571440000,35.1507299500,,,,,,,,
-120.6622500000,35.1532461900,,,,,,,,
-120.6624750000,35.1533570000,,,,,,,,
-120.6679940000,35.1520300000,,,,,,,,
-120.6682240000,35.1520635900,,,,,,,,
-120.6691540000,35.1521989500,,,,,,,,
-120.6699120000,35.1523094200,,,,,,,,
-120.6701210000,35.1523398800,,,,,,,,
-120.6727640000,35.1527246900,,,,,,,,
-120.6746220000,35.1529952000,,,,,,,,
-120.6746810000,35.1530038200,,,,,,,,
-120.6750740000,35.1530610000,,,,,,,,
-120.6752230000,35.1531568100,,,,,,,,
-120.6756130000,35.1534075400,,,,,,,,
-120.6828760000,35.1580746400,,,,,,,,
-120.6834400000,35.1584376600,,,,,,,,
-120.6843230000,35.1590044600,,,,,,,,
-120.6844550000,35.1590895200,,,,,,,,
-120.6844850000,35.1591089800,,,,,,,,
-120.6845250000,35.1591343400,,,,,,,,
-120.6869740000,35.1607080000,,,,,,,,
-120.6875790000,35.1612403200,,,,,,,,
-120.6881950000,35.1617809400,,,,,,,,
-120.6888810000,35.1623838000,,,,,,,,
-120.6889000000,35.1624010000,,,,,,,,
-120.6891240000,35.1625970800,,,,,,,,
-120.6919480000,35.1650784000,,,,,,,,
-120.6922990000,35.1653870900,,,,,,,,
-120.6954010000,35.1681127000,,,,,,,,
-120.6955710000,35.1682622400,,,,,,,,
-120.6989060000,35.1711920000,,,,,,,,
-120.7042030000,35.1732060000,,,,,,,,
-120.7062800000,35.1737870500,,,,,,,,
